Job No,Job Date,Warehouse,Warehouse Status,Machine,Status,Post Date,Start-Time,End-Time,Elapsed-Time,UOM,Input Qty,Output Qty,Yield Loss Qty,Department,Description,Input Value,Output Value,Expenses,User Defined 1,UserDefined2,Input Units,Output Units,Operator,Finished Product,First Seen,Last Seen
12003,2026-01-02,Plus Monroe Warehouse,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2026-01-05,5:06AM,,18:54:00,LBS,5397.0,5397.0,0.0,Plus Materials,,94.1,94.1,0.0,,,21,5,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12007,2026-01-02,Plus Monroe Warehouse,COMPLETED,AVANGARD (OLD) (1ST SHIFT),Posted,2026-01-05,5:07AM,,18:53:00,LBS,2424.0,2424.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12009,2026-01-02,Plus Monroe Warehouse,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,2026-01-05,5:07AM,,18:53:00,LBS,6110.0,6110.0,0.0,Plus Materials,,305.5,305.5,0.0,,,11,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12010,2026-01-02,Plus Monroe Warehouse,COMPLETED,SHREDDER (1ST SHIFT),Posted,2026-01-05,5:07AM,,18:53:00,LBS,9311.0,9311.0,0.0,Plus Materials,,465.55,465.55,0.0,,,48,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12011,2026-01-02,Monroe Processing Warehouse,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,2026-01-05,5:07AM,,18:53:00,LBS,10469.0,10469.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12014,2026-01-05,Plus Monroe Warehouse,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2026-01-06,5:06AM,,18:54:00,LBS,4635.0,4635.0,0.0,Plus Materials,,187.11,187.1,0.0,,,33,5,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12015,2026-01-05,Plus Monroe Warehouse,COMPLETED,AVANGARD (OLD) (1ST SHIFT),Posted,2026-01-06,5:06AM,,18:54:00,LBS,2581.0,2581.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12018,2026-01-05,Plus Monroe Warehouse,COMPLETED,EXTRUDER (1ST SHIFT),Posted,2026-01-06,5:06AM,,18:54:00,LBS,6565.0,6565.0,0.0,Plus Materials,,328.25,328.25,0.0,,,12,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12020,2026-01-05,Plus Monroe Warehouse,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,2026-01-06,5:07AM,,18:53:00,LBS,11739.0,11739.0,0.0,Plus Materials,,117.39,117.39,0.0,,,1,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12021,2026-01-05,Plus Monroe Warehouse,COMPLETED,SHREDDER (1ST SHIFT),Posted,2026-01-06,5:07AM,,18:53:00,LBS,2008.0,2008.0,0.0,Plus Materials,,0.0,0.0,0.0,,,1,6,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12022,2026-01-05,Monroe Processing Warehouse,COMPLETED,SHREDDER/GRINDER (1ST SHIFT),Posted,2026-01-06,5:07AM,,18:53:00,LBS,5569.0,5569.0,0.0,Plus Materials,,0.0,0.0,0.0,,,1,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12028,2026-01-05,Plus Monroe Warehouse,COMPLETED,EXTRUDER (2ND SHIFT),Posted,2026-01-06,5:08AM,,18:52:00,LBS,7824.0,7824.0,0.0,Plus Materials,,78.24,78.24,0.0,,,0,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12030,2026-01-05,Plus Monroe Warehouse,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,2026-01-06,5:09AM,,18:51:00,LBS,10241.0,10241.0,0.0,Plus Materials,,102.41,102.41,0.0,,,1,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12035,2026-01-06,Plus Monroe Warehouse,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2026-01-07,5:10AM,,18:50:00,LBS,8010.0,8010.0,0.0,Plus Materials,,-49.5,-49.5,0.0,,,17,7,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12036,2026-01-06,Plus Monroe Warehouse,COMPLETED,AVANGARD (OLD) (1ST SHIFT),Posted,2026-01-07,5:10AM,,18:50:00,LBS,1632.0,1632.0,0.0,Plus Materials,,172.843,172.84,0.0,,,0,1,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12039,2026-01-06,Plus Monroe Warehouse,COMPLETED,EXTRUDER (1ST SHIFT),Posted,2026-01-07,5:11AM,,18:49:00,LBS,8345.0,8345.0,0.0,Plus Materials,,412.3,412.3,0.0,,,0,2,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12041,2026-01-06,Plus Monroe Warehouse,COMPLETED,GUILLOTINE (1ST SHIFT),Posted,2026-01-07,5:11AM,,18:49:00,LBS,4648.0,4648.0,0.0,Plus Materials,,232.4,232.4,0.0,,,8,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12042,2026-01-06,Plus Monroe Warehouse,COMPLETED,SHREDDER (1ST SHIFT),Posted,2026-01-07,5:11AM,,18:49:00,LBS,3483.0,3483.0,0.0,Plus Materials,,0.0,0.0,0.0,,,0,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12046,2026-01-06,Plus Monroe Warehouse,COMPLETED,AVANGARD (OLD) (2ND SHIFT),Posted,2026-01-07,5:12AM,,18:48:00,LBS,5612.0,5612.0,0.0,Plus Materials,,197.6063,197.6,0.0,,,0,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12049,2026-01-06,Plus Monroe Warehouse,COMPLETED,EXTRUDER (2ND SHIFT),Posted,2026-01-07,5:12AM,,18:48:00,LBS,7627.0,7627.0,0.0,Plus Materials,,381.35,381.35,0.0,,,0,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12051,2026-01-06,Plus Monroe Warehouse,COMPLETED,GUILLOTINE (2ND SHIFT),Posted,2026-01-07,5:13AM,,18:47:00,LBS,6227.0,6227.0,0.0,Plus Materials,,0.0,0.0,0.0,,,10,0,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12055,2026-01-06,PRN Southeast,COMPLETED,BALER,Posted,2026-01-07,5:13AM,,18:47:00,LBS,8875.0,9260.0,-385.0,Plus Materials,,587.96,1031.72,443.75,,,25,4,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12056,2026-01-07,Plus Monroe Warehouse,COMPLETED,AUTO-TIE BALER (1ST SHIFT),Posted,2026-01-08,5:12AM,,18:48:00,LBS,3248.0,3248.0,0.0,Plus Materials,,52.9718,52.98,0.0,,,10,3,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
12057,2026-01-07,Plus Monroe Warehouse,COMPLETED,AVANGARD (OLD) (1ST SHIFT),Posted,2026-01-08,5:12AM,,18:48:00,LBS,1615.0,1615.0,0.0,Plus Materials,,56.8656,56.87,0.0,,,0,1,CARL,,2026-09-17T13:18:36,2026-09-17T13:18:36
